,Unnamed: 0,brand,product_name,description,image,price
60,60,聖沛黎洛,有氣檸檬菓汁 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1037325_1.jpg?1589168615,38.0
61,61,玉泉,迷你罐-有汽檸檬水 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1037285_1.jpg?1591150871,25.0
62,62,OOHA,白桃烏龍茶味汽水(迷你罐) ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1051131_1.jpg?1655290404,26.0
63,63,賓得寶 (平行進口),健怡青檸梳打 ,4'S ,https://image.ztore.com/images/ztore/production/product/368px/1034021_1.jpg?1570155294,41.9
66,66,可口可樂,加系-膳食纖維無糖汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1020583_1.jpg?1620624268,35.9
69,69,玉泉,西柚汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000169_1.jpg?1568361180,34.9
70,70,勝獅,梳打水 ,325MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6001705_1.jpg?1567422441,21.9
73,73,七喜,健怡汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000178_1.jpg?1475573574,29.9
74,74,SENAC,水蜜桃味 ,750ML ,https://image.ztore.com/images/ztore/production/product/368px/1046426_1.jpg?1628863250,78.0
75,75,玉泉,有氣辣薑啤飲品(薑味)迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1029527_1.jpg?1559567267,27.0
76,76,玉泉,乾薑味汽水迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1029528_1.jpg?1559567267,27.0
79,79,JOLLY SHANDY樂怡仙地,碳酸酒精飲品-檸檬味 ,330MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1003106_1.jpg?1478518154,24.9
80,80,可口可樂,無糖汽水 ,1.25LX2 ,https://image.ztore.com/images/ztore/production/product/368px/6003579_1.jpg?1600146821,22.0
82,82,雪碧,無糖青檸味汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1053171_1.jpg?1651230305,34.9
84,84,芬達,橙汁汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000161_1.jpg?1649848351,34.9
85,85,玉泉,零系忌廉 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1030165_1.jpg?1632979891,34.9
86,86,玉泉,忌廉 ,500MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/6002890_1.jpg?1629950763,25.0
87,87,雪碧,檸檬青檸味汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000160_1.jpg?1583926765,34.9
91,91,屈臣氏,湯力水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1030713_1.jpg?1659330093,17.9
