,product_name,description,brand,price,market,category
98,有氣辣薑啤飲品迷你罐,6x200ML,玉泉,28.0,PK_shop,drinks
99,乾薑啤味汽水迷你罐,6x200ML,玉泉,28.0,PK_shop,drinks
100,紅牛能量飲品 355亳升 (4 罐裝),4X355ML,紅牛,69.9,PK_shop,drinks
101,芒果狂歡碳酸能量飲料,355ML,MONSTER,15.9,PK_shop,drinks
102,加系可口可樂 （無糖） 汽水高罐,4X330ML,可口可樂,26.0,PK_shop,drinks
103,梳打水高罐,4X330ML,玉泉,19.5,PK_shop,drinks
104,可樂無糖４罐裝,330MLX4,百事,17.9,PK_shop,drinks
105,管浪潘趣碳酸能量飲料,355ML,MONSTER,15.9,PK_shop,drinks
106,提子味梳打,330ML,芬達,6.5,PK_shop,drinks
107,荔枝乳酸味,200MLX6,OOHA,28.0,PK_shop,drinks
108,無糖檸檬青檸味汽水,500ML,雪碧,9.0,PK_shop,drinks
109,紅牛能量飲品 250亳升 (4 罐裝),4X250ML,紅牛,54.9,PK_shop,drinks
110,超越碳酸能量飲料,355ML,MONSTER,15.9,PK_shop,drinks
111,湯力水迷你罐,6x200ML,玉泉,28.0,PK_shop,drinks
112,有氣辣薑啤飲品迷你罐,6x200ML,玉泉,28.0,PK_shop,drinks
113,乾薑啤味汽水迷你罐,6x200ML,玉泉,28.0,PK_shop,drinks
114,紅牛能量飲品 355亳升 (4 罐裝),4X355ML,紅牛,69.9,PK_shop,drinks
115,芒果狂歡碳酸能量飲料,355ML,MONSTER,15.9,PK_shop,drinks
116,加系可口可樂 （無糖） 汽水高罐,4X330ML,可口可樂,26.0,PK_shop,drinks
117,梳打水高罐,4X330ML,玉泉,19.5,PK_shop,drinks
118,白桃烏龍茶味,330MLX4,OOHA,26.0,PK_shop,drinks
119,忌廉,330MLx8,玉泉,37.0,PK_shop,drinks
120,能量飲品,250ML,紅牛,15.9,PK_shop,drinks
121,紅牛能量飲品 355亳升,355ML,紅牛,20.9,PK_shop,drinks
122,青檸味有氣水,410MLx6,玉泉,43.0,PK_shop,drinks
123,紅罐版西瓜味能量飲品,250ML,紅牛,15.9,PK_shop,drinks
124,加系可口可樂（無糖）,8X330ML,可口可樂,39.0,PK_shop,drinks
125,氣泡桃橙茶 6罐裝,310MLX6,維他,25.0,PK_shop,drinks
126,梳打水,330MLX4,依維世,15.9,PK_shop,drinks
127,青檸味有氣水,1.25L,玉泉,14.0,PK_shop,drinks
128,氣泡檸檬茶６罐裝,310MLX6,維他,25.0,PK_shop,drinks
129,無糖可口可樂汽水,2L,可口可樂,15.0,PK_shop,drinks
130,梳打水,8X330ML,玉泉,37.0,PK_shop,drinks
131,梳打水迷你罐,6x200ML,玉泉,28.0,PK_shop,drinks
132,可口可樂 汽水迷你罐  6X200ML,6X200ML,可口可樂,28.0,PK_shop,drinks
133,白桃烏龍茶味,200MLX6,OOHA,28.0,PK_shop,drinks
134,檸檬青檸味,330MLx8,雪碧,37.0,PK_shop,drinks
135,荔枝乳酸味,330MLX4,OOHA,26.0,PK_shop,drinks
136,檸檬青檸味汽水迷你罐,6x200ML,雪碧,28.0,PK_shop,drinks
137,有氣水,1.25L,玉泉,14.0,PK_shop,drinks
138,橙味汽水迷你罐,6x200ML,芬達,28.0,PK_shop,drinks
139,無糖可口可樂汽水迷你罐裝,6X200ML,可口可樂,28.0,PK_shop,drinks
140,可口可樂,330MLX12,可口可樂,43.0,PK_shop,drinks
141,忌廉味汽水迷你罐,6X200ML,玉泉,28.0,PK_shop,drinks
142,梳打水,330MLX12,玉泉,43.0,PK_shop,drinks
143,屈臣氏蘇打水4罐 (330毫升),330MLX4,屈臣氏,17.9,PK_shop,drinks
144,湯力水,500ML,FEVER TREE,27.9,PK_shop,drinks
145,STARLIGHT 無糖汽水,330ML,可口可樂,5.0,PK_shop,drinks
146,蘇打水１２罐裝,330MLX12,屈臣氏,41.9,PK_shop,drinks
147,屈臣氏青檸味蘇打水 330MLX4,330MLX4,屈臣氏,17.9,PK_shop,drinks
148,意大利有氣甜橙果汁,4X330ML,聖培露,39.9,PK_shop,drinks
