,product_name,description,image,price
28,可口可樂 - 無糖汽水 ,2L ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$14.9
29,玉泉 - 梳打水 ,330MLX8 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$34.9
30,利賓納 - 有氣利賓納-原味- 原箱 ,325MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
31,可口可樂 - 無糖汽水-汽水迷你罐(原箱) ,200MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$84
32,玉泉 - 忌廉味汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$25
33,OOHA - 荔枝乳酸味汽水 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$23
34,OOHA - 柚子海鹽味汽水 - 原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$104
35,雪碧 - 檸檬青檸味汽水迷你罐 ,200MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$25
36,芬達 - 橙汁汽水-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
37,玉泉(平行進口) - 泰國限定青檸梳打 (新舊包裝隨機發送) ,330MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$34.5
38,玉泉 - +C檸檬梳打-原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$85
39,屈臣氏 - 沙示汽水飲品 ,330MLX6 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$20.6
40,OOHA - 白桃烏龍茶味汽水 - 原箱 ,330MLX24 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$104
41,可口可樂 - 無糖汽水-高罐裝 ,330MLX4 ,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",$15.9
42,泰象 - 青檸味梳打水 ,325MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1045733_1.jpg?1625213132,$26.9
43,屈臣氏 - 青檸味蘇打水 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1036970_1.jpg?1659330094,$17.9
44,可口可樂 - 汽水-檸檬味 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000642_1.jpg?1631277810,$34.9
45,OOHA - 柚子海鹽味汽水(迷你罐) ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1051132_1.jpg?1655290405,$26
46,聖沛黎洛 - 有氣血橙菓汁 ,330MLX4 ,https://image.ztore.com/images/ztore/production/product/368px/1037089_1.jpg?1587484708,$38
47,樂天 - 檸七 ,250MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1001272_1.jpg?1625733191,$21.9
48,可口可樂 - 無糖汽水 -原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6001475_1.jpg?1629894516,$128
49,七喜 - 汽水 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000159_1.jpg?1529573810,$29.9
50,芬達 - 橙味汽水迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1029524_1.jpg?1649848349,$25
51,可口可樂 - 汽水 -原箱 ,500MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/6001473_1.jpg?1633951223,$128
52,玉泉 - 湯力水迷你罐 ,200MLX6 ,https://image.ztore.com/images/ztore/production/product/368px/1029526_1.jpg?1559567267,$27
53,玉泉 - 忌廉 ,330MLX8 ,https://image.ztore.com/images/ztore/production/product/368px/1000170_1.jpg?1629950765,$34.9
54,賓得寶 (平行進口) - 健怡薑啤 ,4'S ,https://image.ztore.com/images/ztore/production/product/368px/1034020_1.jpg?1570155294,$41.9
55,雪碧 - 檸檬青檸味汽水迷你罐(原箱) ,200MLX24 ,https://image.ztore.com/images/ztore/production/product/368px/8001266_1.jpg?1583926765,$84
